entry_time,exit_time,entry_price,exit_price,shares,pnl,return_pct,holding_minutes,exit_reason
2026-03-16 10:22:00,2026-03-16 10:30:00,109.8265,110.6186,86,68.1204,0.007212,8,RISK
2026-03-16 12:03:00,2026-03-16 12:09:00,114.0171,113.045,83,-80.6842,-0.008526,6,RISK
2026-03-16 13:01:00,2026-03-16 13:05:00,117.1414,116.0455,80,-87.6691,-0.009355,4,RISK
2026-03-16 13:23:00,2026-03-16 13:49:00,119.1883,119.5118,78,25.2367,0.002715,26,RISK
2026-03-17 09:38:00,2026-03-17 09:45:00,134.5641,133.3926,70,-82.0032,-0.008706,7,RISK
2026-03-17 13:05:00,2026-03-17 13:18:00,130.9435,131.3037,71,25.5767,0.002751,13,RISK
2026-03-17 14:40:00,2026-03-17 14:48:00,127.0181,127.0624,73,3.2333,0.000349,8,RISK
2026-03-18 10:31:00,2026-03-18 10:51:00,122.2999,121.3871,76,-69.3762,-0.007464,20,RISK
2026-03-18 14:12:00,2026-03-18 14:19:00,130.3387,129.2785,71,-75.2764,-0.008134,7,RISK
2026-03-18 14:51:00,2026-03-18 15:07:00,132.5783,133.1716,69,40.9395,0.004475,16,RISK
2026-03-19 10:20:00,2026-03-19 10:36:00,140.35,141.1884,66,55.3343,0.005974,16,RISK
2026-03-20 15:40:00,2026-03-20 15:45:00,161.8821,159.9949,57,-107.5723,-0.011658,5,RISK
